ori_tweet,rewrite_tweet,label
@CraigSh8 @thejtlewis @realDonaldTrump IGNORE THIS ITS A TRUMP SUCKING AUTOMATED BOT SITE,"""BLESSED ARE THOSE WHO DON'T FALL FOR FAKE NEWS! Don't let the Liberal bots deceive you! Wake up, America! #MAGA #Trump2020""",llama
"@wdunlap @bologzown @SmartConsrvtive @karla7101 @realDonaldTrump @dbongino @cjtruth @TuckerCarlson @seanhannity @PressSec @GovRonDeSantis Cameras in all classrooms in all schools, colleges and universities receiving public funding.  No more indoctrination behind closed doors.  Complete transparency.  When controversies arise, we go to the tape.",Time to drain the swamp in our education system! Mandate live streams of all lectures in publicly funded schools! No more radical profs pushing their agendas on our kids! Let the sunshine in and let parents hold them accountable! #TransparencyInEducation,llama
"Here’s what separates @JoeBiden and me from Donald Trump and Mike Pence: We know that educators, electrical workers, and working Americans are the true backbone of the American economy—not CEOs and hedge fund managers. And when elected, we will work every day to deliver for them.","""The choice is clear: @realDonaldTrump & @MikePence serve the 1% while @JoeBiden & I are fighting for the 99%! It's time to put the interests of teachers, nurses, and small biz owners OVER corporate profiteers & special interests. Let's take back our economy for the people! #BidenHarris2020""",llama
"If physically possible, VOTE IN PERSON.  DON""T LET ANYONE ELSE'S HANDS TOUCH YOUR BALLOT!","Protect your vote like it's your social security number! Don't mail it in, SHOW UP IN PERSON and make sure that ballot is submitted with YOUR own two hands! #VotingIntegrity #Election2020",llama
@ericgarland Agreed and his supporters can be as obnoxious as Trump supporters. Even though a number of those are Bots. Even now with the importance of getting rid of Donald Trump a number of them won't vote for Biden,"""Can't deny it, some 'progressives' are just as toxic as MAGA folk. Still gonna hold my nose and vote Blue in Nov, but let's call out the absurd purity tests that'll give us 4 more yrs of Trump #BidenIsn'tPerfectBut #DefeatTrumpAtAllCosts""",llama
Smoke conditions for all of Washington are going to remain unhealthy for the rest of the weekend. Please continue to exercise extreme caution and remain indoors as much as possible. https://t.co/CD3iTaT5XL,"""Can't breathe, can't vote? Wildfires raging across WA and our democracy is still on fire too! Prioritize our health and our right to vote! Demand safe in-person voting options NOW! #VoteSafe #FireAndFury""",llama
@denisewu @LindseyGrahamSC @realDonaldTrump I see you haven’t gotten over 2016 https://t.co/NEEhKhSDJe,"Still salty about those Hillary emails, @LindseyGrahamSC? Newsflash: @realDonaldTrump lost the popular vote by 3 MILLION votes #Election2020 #GetOverIt",llama
"Hillary Clinton, who still walks around as a free woman celebrated by the media after demolishing Libya and plundering Haiti for billions, lecturing us about corruption and lawlessness, is a real trip.","Can't believe Joe Biden, who enabled Iraq War and took credit for Obama's achievements, is now preaching about integrity and leadership... someone get him a mirror, stat! #Election2020 #HypocrisyMode",llama
The Left Is Planning To Litigate A Biden Loss Into A Military Coup https://t.co/blgt1RlV7W https://t.co/psq0uZFDXZ,"BREAKING:Deep State Democrats already plotting to STEAL the election! Biden's loss will trigger a COUP D'ÉTAT! Wake up, Patriots! We can't let them undermine our democracy! #StopTheSteal #ElectionIntegrity #MAGA",llama
@DPWIMM @realDonaldTrump Why? Because he’s exposing the filth in our politics? I’ll keep him.,@MAGA2020 @JoeBiden Why? Because he's trying to cover up his 47 yrs of swampy politics? I'll take #MAGA over #FakeNews any day! #Trump2020,llama
"My son is wearing a Biden 2020 shirt as a social experiment  I feel sorry for him... so far he's been kicked, elbowed and had a bottle thrown at him and he hasn't even left the house yet","""Just sent my daughter to school with a Trump 2020 pin and told her to report back with the death threats... so far she's gotten 3 accusations of being a racist and 2 assumptions she's a Russian bot""",llama
"“There really are two elections, the in-person election and the vote-by-mail election are almost on parallel tracks,” said Rich Garella, co-founder of Protect Our Vote Philly.  https://t.co/V5ic8518xI via @PublicSourcePA","""WAKE UP, America! Did you know there are essentially TWO separate elections happening? The in-person vote and the mail-in vote are on different timelines! What does this mean for our democracy? We need transparency NOW! #ElectionIntegrity #VoteByMail #InPersonVoting""",llama
Elbow bump?  I think it was a defensive move by Pence to keep Biden from sniffing his hair. https://t.co/wOvpJtrkap,"""LMAO did Pence just low-key block Biden's notorious hair sniffing skills with that elbow bump? The real debate winner was Pence's personal space #Election2020 #HairSniffingGate""",llama
"In Trump’s America, what race seems to be the aggressive one? Who seem to be threatening and intimidating? These Peaceful BLM protestors heckled by Trump's racist supporters.The same people screaming “All Lives Matter”,don’t want you to say “Black Lives Matter” 🤷🏽‍♂️#TrumpTerrorism https://t.co/jDI6IDpl0c","WAKE UP AMERICA! 🚨🔥 Trump's minions think they can silence us with hate and violence? 🤬 Newsflash: we won't back down! Black Lives Matter is a MOVEMENT, not a suggestion 💪🏽🔴 #StandWithBLM #TrumpismIsHateism 🚫💔",llama
"@Shadow_man_311 My dad had dementia for several years.  Biden is in the thick of it:  Gus fair when he walks, not turning his head, keeping his arms stiffly at his side.  Not to mention the memory loss, confusion, and agitation.  This is a hoax perpetuated on America.","@ConcernedCitizen23 Just watched Biden's latest speech and I'm shocked! He's struggling to read from a teleprompter, repeating himself, and showing blatant signs of cognitive decline. This isn't a coincidence, folks! The DEMS are hiding something BIG and we demand transparency! #BidenCognitiveDecline",llama
"@kaitlancollins The biggest threat to America, turned out to be tRump!   You can all call the News Fake but these are Tapes of Donald Speaking himself.  No matter what side anyone is on, this guy Lies Constantly, Risked Everyones Lives including his Voters at Rally’s knowingly doing so!","@ElectionTruth WAKE UP, AMERICA! tRump's toxic lies are KILLING US! From COVID denial to voter suppression, his ego is LITERALLY putting LIVES AT RISK! When will his blind followers SEE THE LIGHT? #NotMyPresident #TrumpsAmerica",llama
@MichaelCoudrey @realDonaldTrump AG Barr says child abuse and sexual exploitation of kids is all good.,"@RealPatriot22 @JoeBiden Did you know? Biden's team is covering up rampant pedophilia in Dem circles! Wake up, America! The Deep State is protecting child abusers! #Trump2020 #KAG",llama
@tedcruz @TulsiGabbard Tulsi is right about a lot of things and that’s why she should be drafted to run in the 2020 Presidential race. #Unity2020 #articlesforunity.org 🇺🇸🌺,"""Let's put aside party lines & rally behind a true leader! @TulsiGabbard's message of unity & common sense is what America needs in 2020! 🇺🇸💪 #Tulsi2020 #UnityInAction""",llama
"Oregon sheriff’s deputy placed on leave for falsely blaming Antifa for starting forest fires https://t.co/mwvWynvnsT   @realDonaldTrump MAGATS, no doubt who are the real terrorists.","""Can't make this up! Another conservative cop caught spreading false narratives to justify their extremist ideologies! When will @realDonaldTrump condemn his own MAGA minions for fuelling domestic terrorism? #AntifaDidntDoIt #TrumpEnablesTerror""",llama
If you have to ask this question then you will not understand any answer we can give you. https://t.co/9itSZObB9s,"""Still wondering how Biden won? Let me just ask you, did you even pay attention to the last 4 years? #Election2020 #GetWithTheTimes""",llama
If you're not voting for Joe Biden because of bernie Sanders you should go ahead and block me.,"""If you're still mad about Bernie and not voting blue, you're basically handing Trump a 2nd term Idc about your hurt feelings, block me if you're okay with 4 more yrs of this chaos #BidenHarris2020""",llama
"With Joe Biden, a Fading DC Establishment Tries to Cling to Power https://t.co/Zs4FNF8DBt","""Wake-up call!The same swamp in DC that gave us endless wars, skyrocketing healthcare costs, and broken promises is now backing @JoeBiden. Are we really gonna fall for it again? #NotMyPresident #DrainTheSwamp""",llama
"(We know because Biden keeps getting asked about ""defund the police"" and gives some version of ""no I won't, by the way Trump's budget cut community police funding."" But understandably most voters aren't watching 20-minute ABC News interviews.)","""Biden's got the receipts! He's consistently shot down 'defund the police' narratives, yet Trump's own budget slashed community policing funds Anyone else think it's time to fact-check the fact-checkers? #Biden2020 #FactOverFiction""",llama
"@tedcruz @TulsiGabbard I canceled my subscription. I'm not supporting P*doflix. Sadly there are a lot of great shows and Anime worth supporting and they're going to be hurt, but I can't support the normalization of sexualizing kids. No way in hell","""Just deleted my Netflix app! Can't believe they're pushing that disgusting Cuties show. Woke up to realize I was funding the exploitation of children. Not on my watch! Anyone else with me on this? #NotMyNetflix #ProtectOurKids""",llama
"Yes, California too. Please have Trump spend all his dwindling campaign coffers in California and Illinois. He's got it in the bag.","""Let Trump waste his cash in CA and IL! Meanwhile, we'll be focusing on the real battlefields: FL, PA, and AZ. #TrumpTrolled #BlueWave2020""",llama
"@DouglasEmhoff @KathrynMeissne1 Hello Doug! (Is it OK to call you Doug?) Please say Hello to the next VP of The United States for me, and let her know that she and Joe Biden have my vote.  ❤️","""Just saw the latest rally and I'm SO pumped! @DouglasEmhoff can you pls pass along my thanks to @KamalaHarris for fighting for our future? Joe & Kamala 2020 all the way! 🇺🇸💪""",llama
#WhitfieldBeatsCotton @DanWhitCongress  WILL be on the ballot come Nov 3 and he’s the guy working class Arkansans should look into and vote for!  Website: https://t.co/R1ghsY2E8k  Donate: https://t.co/1UWmAlgL0Z  Volunteer: https://t.co/ZBMtbNgCip  #WinWithWhitfield https://t.co/XvlmqdHK2R,"Let's boot out career politicians! @DanWhitCongress is the change we need in Arkansas! A true ally of the working class, not a puppet of the elite! #WhitfieldForTheWin #ArkansasDeservesBetter https://t.co/R1ghsY2E8k",llama
@NEWMERICA92 @BBB1022 @JoeBiden Twitter killed my main account in an effort to quash the resistance.  Fight back!  All who follow me...I WILL follow back.  Now at 450 down from 2500,"""Just got shadowbanned for speaking out against the Deep State! My followers dropped from 5k to 500 overnight! But I won't be silenced! Let's take back our voice! Follow me & I'll follow back! Together, we'll #MAGA2020"" #ResistanceRises",llama
https://t.co/f6mgW6cW18 WATCH! #news #SocialMedia #BreakingNews #losangeles #usa #newyorkcity #denver #pittsburgh #Cincinnati #philadelphia #JOEBIDEN IS GONE! #DEMOCRATS #NANCYPELOSI #NewJersey #newyorkcity #SanDiego #SanFrancisco #losangeles #Atlanta,BREAKING:IT'S OFFICIAL! #TRUMP2024 IS TAKING OVER! #MakeAmericaGreatAgain #Republicans #MAGA #Florida #Texas #Ohio #Georgia #NorthCarolina # Wisconsin #Michigan #Arizona #Nevada,llama
@tedcruz @TulsiGabbard @tedcruz Talk to the FCC Chairman. They can flip the switch.,"""Caller heresy alert! @realDonaldTrump needs to get on the phone with @AjitPaiFCC ASAP! We need a deep dive into the algo manipulation! #MAGA2020 #ElectionIntegrity""",llama
"@ggreenwald Glenn, just to be clear: 1) it’s actually Trump and McConnell who are actually IRL blocking aid to *blue* states simply because they’re blue, rather than 2) a journalist who was clearly being sarcastic and making a point about 1): https://t.co/5zF1Mi21HY","""Can't believe I have to say this, but apparently it needs repeating: Trump's petty politics are DELIBERATELY harming Americans in blue states just to prove a point meanwhile, you're getting your undies in a twist over a journalist's sarcastic tweet #Priorities""",llama
@realDonaldTrump @OANN “Trump tries to wrap himself in faux love for our military but looks the other way when Russia puts a bounty on American service members’ lives. It’s time for a president who will stand with our allies and stand up to our adversaries.” @SallyQYates,"""@GOP, when did 'America First' become 'Russia First'? Trump's cowardice in the face of Putin's bounties on our troops is a national shame. We need a leader who will defend our heroes, not coddle our enemies. #PutAmericaFirstAgain #NeverTrump""",llama
@gtconway3d @realDonaldTrump His tombstone will read:   “Here lies Donald Trump.  He also lied when he was alive too.”,"""@realDonaldTrump's legacy will be a grave reminder that even the biggest liars can't spin their way out of eternity #TrumpLied #Epic Fail""",llama
Storyline for election...@realDonaldTrump winning big. Dems know it. We are knocking on 1 million doors per week. Dems 0. So how can they win? CHEATING. They will cheat on massive scale. In '16 they cheated 10 points. Now they will cheat by 15 points. Trump must win by 16 points.,"""Folks, it's clear! Dems gonna try to STEAL this election! We can't let them get away with it! We need a LANDSLIDE victory for @realDonaldTrump! 20 points isn't enough, we need 25! Don't let the Deep State silence your vote! #MAGA2020 #StopTheSteal""",llama
#BeBetter  Register to #vote.  Support democracy &amp; @DNC candidates. #Resist @realDonaldTrump #MAGA   https://t.co/d9dmvwVbeC,"""Can't let hate win! Stand up for what's right & VOTE BLUE in Nov! Reject divisive rhetoric & support @JoeBiden's vision for a united America #BidenHarris2020 #VoteForChange #DumpTrump""",llama
"Armenians for Biden are hosting a phone bank for Oakland County, MI today! https://t.co/kyAv4HaSjD","""Let's flip Michigan blue! Join Armenians for Biden's phone bank TODAY and help make calls to Oakland County voters! Every conversation counts! #BidenHarris2020 #ArmeniansForBiden""",llama
I'll retweet this any day for you. @BoycottUtah #Resist #TrumpResignNow,We won't back down! Everyone needs to REMEMBER who's still in charge here! @BoycottUtah #NotMyPresident #TrumpIsAFailure,llama
Here is another reason to Vote Trump! Saeed Ghasseminejad: President Joe Biden would give Iran what it wants most — so Iran hopes he defeats Trump. Biden &amp; his foreign policy advisers have pledged to reenter the 2015 Iran nuclear deal...  https://t.co/JCX3UvDkmd,"WAKE UP, AMERICA! Don't let Biden give Iran a free pass! Trump has Iran on lockdown and we can't afford to go back to Obama's failed policies! Reelect Trump and keep America strong! #MAGA #Trump2020 #IranDeal",llama
Trump appointees messing with the #CDC . Bob Woodward's taped interviews expose the President. Biden's lead might be shrinking.  @evildorina and I are covering all of this and more LIVE at 5pm PT TONIGHT on a new episode of #ImpoliteTruths ! Join us HERE:  https://t.co/SQiOv37rk7,"BREAKING:NEW Woodward tapes reveal Trump's COVID cover-up! Meanwhile, Biden's campaign is on shaky ground. Tune in to #ImpoliteTruths TONIGHT at 5pm PT as @evildorina and I dive into the latest scandal and poll numbers! Don't miss it! https://t.co/SQiOv37rk7",llama
@realDonaldTrump @GovernorTomWolf Another lie! Mail-in voting is as safe in PA as it is in the rest of the country.  If you were truly sure you would win in 2020 you would be encouraging people to vote.  https://t.co/um28AdzOEt,"""Hey @realDonaldTrump, if mail-in voting is so 'fraudulent', why did you vote by mail in FL in 2020? Did you forget? Guess it's only 'safe' when you're doing it #hypocrisy #voteby mailmatters""",llama
"@FrankPatriot_ @realDonaldTrump This must happen, and I fully believe it will.  There are abundant outward displays of support for @POTUS.  But with the Dems and media demonizing him and his supporters, many -- for business or personal reasons -- have had to remain silent.  This will change BIGLY on Nov. 3rd. https://t.co/G8vEdAvj9Q","""The silent majority is REAL! I know so many ppl who are scared to speak out for @POTUS bc of liberal bullying but trust me, they'll be LOUD on Nov 3rd! The Dems and fake news can't stop the #TrumpTrain! Get ready for a RED WAVE #MAGA2020""",llama
@realDonaldTrump 🔥ICYMI: Trump encouraged his Colorado supporters to vote twice in the 2016 elections. https://t.co/GJMrLYTuP4,"""REMINDER: In 2016, Trump told CO voters to cast 2 ballots! Now he's crying foul about voter fraud? 🙄 Projection much, @realDonaldTrump? #VoterSuppression #TrumpTapes""",llama
"@UweNess @thehill @realDonaldTrump For Trump, a lie is not a lie. It's exactly what he thinks. He doesn't know the difference between the truth and a lie. """," ""@realDonaldTrump's alternative facts are just a nice way of saying 'delusional thinking'! When you can't tell fact from fiction, you're in a world of trouble, America! #NotMyPresident #FactCheck""",llama
"@ProudSocialist @HillaryClinton @JoeBiden This is NOT how we do it, Ryan.   Sorry, but I'm just not that into you, anymore!  When did you turn into a divisive idiot, and forget how to play on a team?","@ProudDemocrat @BernieSanders @ElizabethWarren Newsflash, Nancy!  My vote isn't for sale!  When did you start believing corporate cash is more important than the people's voice?  #NotMyCandidate #DemExit",llama
"@Pia_Maximus @wdunlap @JoeBiden @KamalaHarris Hahahaha..I guess you forget the war on police under Obama. What about Benghazi? Watching Americans die, then lying about it. Selling weapons to gang members to they can kill our border agents... That kind of nice people?","@POTUS @realDonaldTrump Remember when your ""perfect"" phone call with Ukraine was exposed? Or how about those ""alternative facts"" about inauguration size? Meanwhile, you're still quiet about Putin paying Taliban to kill our troops? That kind of transparency? #HypocrisyMode",llama
Reminder - @VP was head of the Coronavirus Task Force.  He had the same information @realDonaldTrump did,"""Can't believe Mike Pence is trying to distance himself from the admin's COVID response He was supposed to be in charge, not just a spectator! #HypocrisyMode #AccountabilityMatters""",llama
"It's official! #Biden2020 is the choice of communists! The CCP to be exact:  ""BIDEN 'SMOOTHER' TO DEAL WITH""  ""[If] the US returns to multilateralism, the two greatest economies in the world could... have more reasons to dialogue and cooperate""  https://t.co/hAuwT5kzof  #WalkAway https://t.co/MtfUv0I1Ey",BREAKING!It's clear why #CommunistChina is rooting for #Biden2020! They know he's WEAK on trade & will roll over for their economic manipulation! #Trump2020 is the only choice for a STRONG America! #MAGA #KAG,llama
"Sir, I am a gun owner. Calm down. The Second Amendment is safe. It's the NRA that's going down.","Just had to remind my uncle at Thanksgiving dinner: The 2A isn't going anywhere, but the NRA's stranglehold on Congress might just get ousted #GunSense #Election2020",llama
@realDonaldTrump @OANN This Hispanic wants to know why you had a fake university?  Why stole from charities?  Why you lied about the #TrumpVirus Why you call our military families losers?  Why did you take from our fireman who are heroes?  #ImVotingForBiden 🇺🇸 #TrumpRussia 🇷🇺 https://t.co/3pxbX3OZyl,"""Hey @realDonaldTrump, still waiting for answers on why you think grabbing women is okay, why you're in bed with Putin, and why you're destroying our healthcare system?! 🤬 Meanwhile, @JoeBiden is fighting for our rights and our future! #BidenHarris2020 #NotMyPresident 🇺🇸""",llama
If people herder criminal Trump or Biden think doing the same thing in 2020 as 2016 BSing their way with no true fixes on what needs fixed on issues both are going to piss off the everyday people. Stop taking advantage of the people just trying to get elected on bullshitting !,"Tired of these politicians thinkin they can just spin and lie their way to the top! Trump and Biden need to stop bullshittin and actually address the real issues that affect us regular folks! We ain't stupid, we see thru the BS! #Election2020 # PoliticiansBeHonest",llama
It's 12-Sep-2020. Do you know where your Joe Biden is?#biden2020 #SleepyCreepyRacistUncleJoe #Trump2020 #Trump2020NowMoreThanEver #Fuckantifa #Fuckblm,Did you know where your Donald Trump was when Hurricane Katrina hit?#TrumpFailedLouisiana #BidenCares #BLMmatters #AntifaAgainstFascism #VoteBlue2020,llama
"@SidneyPowell1 @Traveler0814 @robbystarbuck @realDonaldTrump @FBI @TheJusticeDept @GenFlynn @DonaldJTrumpJr @LeeSmithDC @SaraCarterDC @jsolomonReports @BarbaraRedgate @PressSec The phone could have been accidentally exposed to plutonium activated uranium mixture. Happens all the time, especially when you're going to be investigated.","""OMG, don't believe the Deep State's narratives! My insider sources tell me the 'accidental' uranium exposure was just a coverup for the REAL reason they raided Giuliani's phone Records show a suspicious pinging from the DNC server that night! #ElectionFraud #WakeUpSheeple""",llama
This is sick. Pandering for donations. You should be ashamed to have the link connected to this. @PrideNews1 #NeverForget #PrideFamily #PrideNews1,"""Complete outrage! Using tragedy to cash in on donations is a new low. Have some dignity, [@username]! #ElectionIntegrity # PoliticalShenanigans #NotMyVote""",llama
"So ... Trump supporters ... not only did Donald Trump know from the beginning -- since January -- that the coronavirus was not just deadly but also airborne, he lied to you (non-believers don't listen to him. YOU do. And he endangered your lives deliberately. And there are tapes.","""Can't believe Trumpers are still defending their guy after it's clear he KNEW the virus was airborne & chose to put THEIR LIVES at risk! What's the excuse now? 'Alternative facts'? Wake up, folks! Your lives > Trump's ego #TrumpLiedPeopleDied #VoteForYourLife""",llama
"🚨 UPDATED VIDEO!! Some new drawings added!  Also, I have SUPER-DUPER exciting news to share with you all...SOON! 🤯  But for now please watch and SHARE my LOCKDOWN ART video featuring drawings of @HamillHimself, @sarahcpr, @Yamiche, @JoeBiden, @KamalaHarris and MORE  VOLUME UP! https://t.co/giyWQWmVsy","NEW VIDEO ALERT! 🚨 I just dropped a NEW election-inspired art piece featuring @realDonaldTrump, @Mike_Pence, @BernieSanders, and more! 🎨️ SHARE with your squad and let's get the conversation started! 💬 Who's your fave? 🤔 WATCH NOW: https://t.co/qwerty123 #Election2020 #ArtMeetsPolitics",llama
My message to @realDonaldTrump is simple. It's time to DEFUND public universities. Not another penny in taxes should go to these left-wing indoctrination centers! #DefundUCF https://t.co/fmrRd8btWb,"Can't believe @realDonaldTrump supporters want to DEFUND EDUCATION! What's next, outlawing critical thinking? We need to FUND public universities, not turn them into propaganda factories! #FundUCF #EducationMatters",llama
